School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
COUGAR MOUNTAIN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,ISSAQUAH SCHOOL DISTRICT,5410 194TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
COUGAR MOUNTAIN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,5108 260TH ST E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
COUGAR RIDGE ELEMENTARY,2015-16,79,93.7%,1.3%,0.0%,5.1%,1.3%,3.8%,0.0%,0.0%,98.7%,98.7%,97.5%,96.2%,93.7%,98.7%,74,1,0,4,1,3,0,0,1,1,2,3,5,1,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,4630 167TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COUGAR VALLEY ELEMENTARY,2015-16,89,95.5%,0.0%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,98.9%,98.9%,100.0%,97.8%,98.9%,100.0%,85,0,4,0,0,0,0,0,1,1,0,2,1,0,Y,PUBLIC SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,13200 OLYMPIC VIEW RD NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COULEE CITY ELEMENTARY,2015-16,14,92.9%,0.0%,0.0%,7.1%,0.0%,0.0%,7.1%,0.0%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,13,0,0,1,0,0,1,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,COULEE-HARTLINE SCHOOL DISTRICT,410 W LOCUST,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COUNTRY HAVEN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,PASCO SCHOOL DISTRICT,510 COUNTRY HAVEN LP,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COUNTRYSIDE MONTESSORI SCHOOL,2015-16,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,13630 100TH AVE NE BLDG 2,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
COUNTRYSIDE SDA ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,REARDAN-EDWALL SCHOOL DISTRICT,12107 W SEVEN MILE RD,SPOKANE,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,1-8,N,Y
COUPEVILLE ELEMENTARY SCHOOL,2015-16,62,82.3%,1.6%,11.3%,4.8%,1.6%,3.2%,0.0%,0.0%,91.9%,91.9%,90.3%,91.9%,91.9%,85.5%,51,1,7,3,1,2,0,0,5,5,6,5,5,9,Y,PUBLIC SCHOOL,COUPEVILLE SCHOOL DISTRICT,6 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COUPEVILLE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
COUPEVILLE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
COVENANT CHRISTIAN SCHOOL,2015-16,4,75.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,0,1,0,1,1,1,1,1,1,Y,PRIVATE SCHOOL,LYNDEN SCHOOL DISTRICT,9088 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,Y,Y
COVENANT HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,620 S SHIRLEY ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
COVINGTON ELEMENTARY SCHOOL,2015-16,76,89.5%,1.3%,6.6%,2.6%,2.6%,0.0%,0.0%,0.0%,94.7%,94.7%,94.7%,93.4%,96.1%,94.7%,68,1,5,2,2,0,0,0,4,4,4,5,3,4,Y,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,17070 SE WAX ROAD,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COVINGTON MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),11200 NE ROSEWOOD RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWEEMAN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,KELSO SCHOOL DISTRICT,2000 ALLEN ST,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWLITZ PRAIRIE ACADEMY (TOLEDO ALTERNATIVE OPTIONS),2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,PO BOX 469,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
COWLITZ SCHOOL AT THE CONFLUENCE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,WHITE PASS SCHOOL DISTRICT,408 A CRAIG RD,PACKWOOD,LEWIS,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
CREATIVE MONTESSORI,2015-16,5,60.0%,0.0%,0.0%,40.0%,0.0%,40.0%,0.0%,0.0%,100.0%,100.0%,80.0%,80.0%,60.0%,80.0%,3,0,0,2,0,2,0,0,0,0,1,1,2,1,Y,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,14944 JUANITA DR NE,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K,Y,N
CREEKSIDE ELEMENTARY,2015-16,115,94.8%,0.9%,0.9%,3.5%,0.9%,2.6%,0.0%,0.0%,96.5%,96.5%,97.4%,96.5%,96.5%,96.5%,109,1,1,4,1,3,0,0,4,4,3,4,4,4,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,20777 SE 16TH ST.,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT HARBOR ELEM,2015-16,100,95.0%,2.0%,1.0%,2.0%,1.0%,1.0%,0.0%,0.0%,98.0%,98.0%,96.0%,98.0%,97.0%,96.0%,95,2,1,2,1,1,0,0,2,2,4,2,3,4,Y,PUBLIC SCHOOL,OAK HARBOR SCHOOL DISTRICT,330 E. CRESCENT HARBOR RD.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
CRESCENT HEIGHTS ELEMENTARY SCHOOL,2015-16,73,86.3%,6.8%,4.1%,2.7%,0.0%,2.7%,0.0%,0.0%,95.9%,97.3%,93.2%,91.8%,95.9%,93.2%,63,5,3,2,0,2,0,0,3,2,5,6,3,5,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,4110 NASSAU AVE NE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT SCHOOL,2015-16,13,53.8%,7.7%,23.1%,15.4%,7.7%,7.7%,0.0%,0.0%,61.5%,61.5%,61.5%,53.8%,76.9%,53.8%,7,1,3,2,1,1,0,0,5,5,5,6,3,6,Y,PUBLIC SCHOOL,CRESCENT SCHOOL DISTRICT,50350 HWY 112,JOYCE,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
CRESTLINE ELEMENTARY SCHOOL,2015-16,73,57.5%,4.1%,34.2%,4.1%,0.0%,4.1%,0.0%,0.0%,68.5%,68.5%,68.5%,67.1%,82.2%,67.1%,42,3,25,3,0,3,0,0,23,23,23,24,13,24,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),13003 SE SEVENTH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
CRESTON ELEMENTARY,2015-16,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
CRESTON JR-SR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
CRESTVIEW CHRISTIAN SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,MOSES LAKE SCHOOL DISTRICT,1601 W VALLEY RD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-9,Y,Y
CRESTWOOD ELEMENTARY,2015-16,55,92.7%,1.8%,0.0%,5.5%,1.8%,3.6%,0.0%,0.0%,94.5%,94.5%,94.5%,94.5%,94.5%,94.5%,51,1,0,3,1,2,0,0,3,3,3,3,3,3,Y,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,3914 W TAPPS DR E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESTWOOD ELEMENTARY SCHOOL,2015-16,60,91.7%,0.0%,6.7%,1.7%,0.0%,1.7%,0.0%,0.0%,93.3%,93.3%,91.7%,93.3%,96.7%,91.7%,55,0,4,1,0,1,0,0,4,4,5,4,2,5,Y,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,25225 180TH AVE SE,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CROSSPOINT CHRISTIAN SCHOOL,2015-16,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,4012 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K-12,Y,Y
CROSSROADS HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,GRANITE FALLS SCHOOL DISTRICT,307 NORTH ALDER AVENUE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CROWNHILL ELEMENTARY SCHOOL,2015-16,66,75.8%,0.0%,21.2%,3.0%,0.0%,3.0%,0.0%,0.0%,83.3%,83.3%,83.3%,81.8%,95.5%,78.8%,50,0,14,2,0,2,0,0,11,11,11,12,3,14,Y,PUBLIC SCHOOL,BREMERTON SCHOOL DISTRICT,1500 ROCKY POINT RD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
CRYSTAL SPRINGS ELEMENTARY,2015-16,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,21615 9 AV SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CURLEW ELEM & HIGH SCHOOL,2015-16,11,72.7%,9.1%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,90.9%,81.8%,100.0%,81.8%,8,1,2,0,0,0,0,0,0,0,1,2,0,2,Y,PUBLIC SCHOOL,CURLEW SCHOOL DISTRICT,PO BOX 370,CURLEW,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y
CURTIS JUNIOR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,8901 40TH ST W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
CURTIS SENIOR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,8425 40TH W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-13,N,N
CUSICK JR SR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CUSICK SCHOOL DISTRICT,305 MONUMENTAL WAY,CUSICK,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
CUSTER ELEM,2015-16,59,79.7%,1.7%,1.7%,16.9%,0.0%,16.9%,0.0%,0.0%,84.7%,84.7%,86.4%,86.4%,86.4%,83.1%,47,1,1,10,0,10,0,0,9,9,8,8,8,10,Y,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,7660 CUSTER SCHOOL ROAD,CUSTER,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
CUSTER ELEMENTARY SCHOOL,2015-16,48,95.8%,2.1%,0.0%,2.1%,0.0%,2.1%,0.0%,0.0%,97.9%,97.9%,97.9%,95.8%,97.9%,97.9%,46,1,0,1,0,1,0,0,1,1,1,2,1,1,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,7801 STEILACOOM BLVD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CYPRESS ADVENTIST SCHOOL,2015-16,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,EDMONDS SCHOOL DISTRICT,21500 CYPRESS WAY,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
DAFFODIL VALLEY ELEMENTARY,2015-16,91,84.6%,7.7%,2.2%,5.5%,1.1%,3.3%,1.1%,0.0%,93.4%,93.4%,92.3%,91.2%,94.5%,90.1%,77,7,2,5,1,3,1,0,6,6,7,8,5,9,Y,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,1509 VALLEY AVENUE,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
DALLESPORT ELEMENTARY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,LYLE SCHOOL DISTRICT,P.O. BOX 529,DALLESPORT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
DAMMAN ELEMENTARY,2015-16,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,DAMMAN SCHOOL DISTRICT,3600 UMPTANUM RD.,ELLENSBURG,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
DANIEL BAGLEY ELEMENTARY SCHOOL,2015-16,89,82.0%,0.0%,7.9%,10.1%,1.1%,7.9%,2.2%,0.0%,88.8%,88.8%,87.6%,88.8%,86.5%,85.4%,73,0,7,9,1,7,2,0,10,10,11,10,12,13,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,7821 STONE AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
DARRINGTON ELEMENTARY SCHOOL,2015-16,37,94.6%,0.0%,0.0%,5.4%,5.4%,0.0%,0.0%,0.0%,97.3%,97.3%,97.3%,97.3%,97.3%,94.6%,35,0,0,2,2,0,0,0,1,1,1,1,1,2,Y,PUBLIC SCHOOL,DARRINGTON SCHOOL DISTRICT,PO BOX 27,DARRINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,Y,Y
DARRINGTON SR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,DARRINGTON SCHOOL DISTRICT,PO BOX 27,DARRINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
DARTMOOR SCHOOL--BELLEVUE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,13401 BEL RED ROAD,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--ISSAQUAH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,ISSAQUAH SCHOOL DISTRICT,22500 SE 64TH PL  #130,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--SEATTLE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,9618 ROOSEVELT WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--WOODINVILLE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,17305 139TH AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DAVENPORT ELEMENTARY,2015-16,50,80.0%,0.0%,18.0%,2.0%,0.0%,2.0%,0.0%,0.0%,84.0%,84.0%,84.0%,84.0%,90.0%,84.0%,40,0,9,1,0,1,0,0,8,8,8,8,5,8,Y,PUBLIC SCHOOL,DAVENPORT SCHOOL DISTRICT,1101 7TH STREET,DAVENPORT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
DAVENPORT SENIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,DAVENPORT SCHOOL DISTRICT,801 7TH STREET,DAVENPORT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,6-12,N,Y
DAVID T. DENNY INTERNATIONAL SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,8402 30 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
DAVID WOLFLE ELEMENTARY,2015-16,58,87.9%,3.4%,1.7%,6.9%,1.7%,5.2%,0.0%,0.0%,89.7%,89.7%,91.4%,91.4%,91.4%,91.4%,51,2,1,4,1,3,0,0,6,6,5,5,5,5,Y,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,27089 HIGHLAND RD NE,KINGSTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-5,Y,N
DAVIS ELEMENTARY,2015-16,102,86.3%,0.0%,4.9%,8.8%,2.0%,5.9%,0.0%,1.0%,91.2%,90.2%,91.2%,91.2%,93.1%,89.2%,88,0,5,9,2,6,0,1,9,10,9,9,7,11,Y,PUBLIC SCHOOL,COLLEGE PLACE SCHOOL DISTRICT,31 SE ASH STREET,COLLEGE PLACE,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-3,Y,N
DAVIS HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,212 S 6TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
DAY REPORTING SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,5501 6TH AVENUE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
DAYBREAK MIDDLE,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,1900 NW 20TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
DAYBREAK PRIMARY,2015-16,89,65.2%,4.5%,13.5%,16.9%,1.1%,15.7%,0.0%,0.0%,75.3%,75.3%,77.5%,75.3%,79.8%,73.0%,58,4,12,15,1,14,0,0,22,22,20,22,18,24,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,1900 NW 20TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-4,Y,N
DAYTON ELEMENTARY SCHOOL,2015-16,25,56.0%,4.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,72.0%,72.0%,72.0%,72.0%,80.0%,68.0%,14,1,10,0,0,0,0,0,7,7,7,7,5,8,Y,PUBLIC SCHOOL,DAYTON SCHOOL DISTRICT,302 E PARK,DAYTON,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y
DAYTON HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,DAYTON SCHOOL DISTRICT,614 S THIRD STREET,DAYTON,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
