School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,TUKWILA SCHOOL DISTRICT,14601 INTERURBAN AVE S,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,
ACCELERATION ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BETHEL SCHOOL DISTRICT,16218 PACIFIC AVE,SPANAWAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
ACES HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,9700 HOLLY DRIVE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
ACME ELEMENTARY,2016-17,Y,23,87.0%,0.0%,4.3%,8.7%,0.0%,8.7%,0.0%,0.0%,87.0%,87.0%,87.0%,87.0%,91.3%,87.0%,20,0,1,2,0,2,0,0,3,3,3,3,2,3,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,5200 TURKINGTON RD,ACME,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
ADAMS ELEMENTARY,2016-17,Y,80,90.0%,0.0%,2.5%,7.5%,0.0%,6.3%,1.3%,0.0%,93.8%,93.8%,92.5%,93.8%,92.5%,93.8%,72,0,2,6,0,5,1,0,5,5,6,5,6,5,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,14707 E 8TH AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
ADAMS ELEMENTARY,2016-17,Y,61,88.5%,3.3%,0.0%,8.2%,1.6%,4.9%,1.6%,0.0%,91.8%,91.8%,90.2%,90.2%,91.8%,91.8%,54,2,0,5,1,3,1,0,5,5,6,6,5,5,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,2909-E 37 AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
ADAMS ELEMENTARY,2016-17,Y,38,97.4%,0.0%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,97.4%,100.0%,37,0,1,0,0,0,0,0,0,0,0,0,1,0,PUBLIC SCHOOL,WAPATO SCHOOL DISTRICT,1309 S CAMAS AVE,WAPATO,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
ADAMS ELEMENTARY SCHOOL,2016-17,Y,97,81.4%,0.0%,8.2%,10.3%,2.1%,9.3%,0.0%,0.0%,94.8%,94.8%,90.7%,87.6%,89.7%,88.7%,79,0,8,10,2,9,0,0,5,5,9,12,10,11,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,6110 28 AV NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ADAMS ELEMENTARY SCHOOL,2016-17,Y,113,95.6%,2.7%,0.9%,0.9%,0.9%,0.0%,0.0%,0.0%,97.3%,97.3%,98.2%,96.5%,98.2%,96.5%,108,3,1,1,1,0,0,0,3,3,2,4,2,4,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,723 S 8TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,1,0,
ADELAIDE ELEMENTARY SCHOOL,2016-17,Y,65,64.6%,4.6%,26.2%,4.6%,0.0%,4.6%,0.0%,0.0%,75.4%,75.4%,78.5%,80.0%,86.2%,76.9%,42,3,17,3,0,3,0,0,16,16,14,13,9,15,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,1635 SW 304TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
ADNA ELEMENTARY SCHOOL,2016-17,Y,33,87.9%,3.0%,3.0%,6.1%,0.0%,3.0%,0.0%,3.0%,93.9%,93.9%,90.9%,90.9%,90.9%,93.9%,29,1,1,2,0,1,0,1,2,2,3,3,3,2,PUBLIC SCHOOL,ADNA SCHOOL DISTRICT,P.O. BOX 28,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,1,0,
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ADNA SCHOOL DISTRICT,P.O. BOX 148,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K-12,1,1,
AHTANUM VALLEY ELEMENTARY,2016-17,Y,55,92.7%,1.8%,3.6%,1.8%,1.8%,0.0%,0.0%,0.0%,96.4%,96.4%,98.2%,98.2%,96.4%,94.5%,51,1,2,1,1,0,0,0,2,2,1,1,2,3,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),3006 S WILEY RD,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,1,0,
AIM HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
AKI KUROSE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3928 S GRAHAM ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
ALBERT EINSTEIN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SHORELINE SCHOOL DISTRICT,19343 3RD AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
ALCOTT ELEMENTARY,2016-17,Y,107,72.9%,0.9%,24.3%,1.9%,0.0%,1.9%,0.0%,0.0%,89.7%,89.7%,82.2%,86.0%,91.6%,84.1%,78,1,26,2,0,2,0,0,11,11,19,15,9,17,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,4213 - 228TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ALCUIN SCHOOL,2016-17,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,216 W BOSTON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,1,0,
ALDERWOOD ELEMENTARY SCHOOL,2016-17,Y,35,65.7%,0.0%,28.6%,5.7%,2.9%,2.9%,0.0%,0.0%,74.3%,74.3%,77.1%,77.1%,91.4%,77.1%,23,0,10,2,1,1,0,0,9,9,8,8,3,8,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,3400 HOLLYWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
ALDERWOOD MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,20000 28TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
ALFARETTA HOUSE,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,10903 GRAVELLY LAKE DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,0,0,
"ALGER LEARNING CENTER, INC.",2016-17,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,MOUNT BAKER SCHOOL DISTRICT,121 ALDER DR,SEDRO-WOOLLEY,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,1,1,
ALKI ELEMENTARY SCHOOL,2016-17,Y,54,83.3%,3.7%,5.6%,7.4%,0.0%,7.4%,0.0%,0.0%,90.7%,90.7%,92.6%,92.6%,88.9%,88.9%,45,2,3,4,0,4,0,0,5,5,4,4,6,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3010 59 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
ALKI MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,1800 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,
ALL SAINTS CATHOLIC SCHOOL,2016-17,Y,35,88.6%,8.6%,0.0%,2.9%,0.0%,2.9%,0.0%,0.0%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,31,3,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,3510 E 18TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,1,1,
ALL SAINTS SCHOOL,2016-17,Y,32,96.9%,0.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,31,0,1,0,0,0,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,FIFE SCHOOL DISTRICT,2323 54TH AVE E,FIFE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,1,0,
ALL SAINTS SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,PUYALLUP SCHOOL DISTRICT,504 2ND ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-8,0,1,
ALLEN CREEK ELEMENTARY SCHOOL,2016-17,Y,67,88.1%,6.0%,0.0%,6.0%,1.5%,4.5%,0.0%,0.0%,92.5%,92.5%,91.0%,92.5%,92.5%,92.5%,59,4,0,4,1,3,0,0,5,5,6,5,5,5,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,6505 60TH DR NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
ALLEN ELEMENTARY,2016-17,Y,60,81.7%,3.3%,13.3%,1.7%,0.0%,1.7%,0.0%,0.0%,83.3%,83.3%,88.3%,83.3%,91.7%,85.0%,49,2,8,1,0,1,0,0,10,10,7,10,5,9,PUBLIC SCHOOL,BURLINGTON-EDISON SCHOOL DISTRICT,17145 COOK ROAD,BOW,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,1,1,
ALMIRA COULEE HARTLINE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,COULEE-HARTLINE SCHOOL DISTRICT,413 N. 4TH STREET,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,
ALMIRA ELEMENTARY SCHOOL,2016-17,Y,13,76.9%,0.0%,0.0%,23.1%,0.0%,23.1%,0.0%,0.0%,84.6%,84.6%,84.6%,84.6%,76.9%,84.6%,10,0,0,3,0,3,0,0,2,2,2,2,3,2,PUBLIC SCHOOL,ALMIRA SCHOOL DISTRICT,PO BOX 217,ALMIRA,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,1,1,
ALPAC ELEMENTARY SCHOOL,2016-17,Y,113,86.7%,1.8%,6.2%,5.3%,0.0%,5.3%,0.0%,0.0%,91.2%,91.2%,92.9%,92.0%,90.3%,90.3%,98,2,7,6,0,6,0,0,10,10,8,9,11,11,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,310 MILWAUKEE BLVD N,PACIFIC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
ALTERNATIVE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,10120 FRONTIER PLACE NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,10-12,0,0,
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,
AMAZING GRACE CHRISTIAN SCHOOL,2016-17,Y,27,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,27,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,10056 RENTON AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-2,1,1,
AMBOY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,22115 NE CHELATCHIE RD,AMBOY,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,0,1,
AMERICA'S CHILD MONTESSORI,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,14340 NE 21ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,1,0,
AMISTAD ELEMENTARY SCHOOL,2016-17,Y,75,94.7%,0.0%,5.3%,0.0%,0.0%,0.0%,0.0%,0.0%,96.0%,96.0%,97.3%,97.3%,98.7%,96.0%,71,0,4,0,0,0,0,0,3,3,2,2,1,3,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,930 WEST 4TH AVENUE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,
ANACORTES HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ANACORTES SCHOOL DISTRICT,1600 20TH STREET,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
ANACORTES MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ANACORTES SCHOOL DISTRICT,2202 M AVENUE,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
ANDERSON ISLAND ELEMENTARY,2016-17,Y,5,60.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,60.0%,80.0%,3,0,2,0,0,0,0,0,1,1,1,1,2,1,PUBLIC SCHOOL,STEILACOOM HIST. SCHOOL DISTRICT,510 CHAMBERS,STEILACOOM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ANGELO GIAUDRONE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,4902 S ALASKA ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
ANNIE WRIGHT SCHOOL,2016-17,Y,25,88.0%,0.0%,0.0%,12.0%,4.0%,8.0%,0.0%,0.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,22,0,0,3,1,2,0,0,3,3,3,3,3,3,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,827 TACOMA AVE N,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,
APOLLO ELEMENTARY,2016-17,Y,106,96.2%,0.0%,1.9%,1.9%,0.9%,0.9%,0.0%,0.0%,97.2%,97.2%,97.2%,97.2%,98.1%,97.2%,102,0,2,2,1,1,0,0,3,3,3,3,2,3,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,15025 SE 117TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
APOLO HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WINLOCK SCHOOL DISTRICT,241 NORTH MILITARY ROAD,WINLOCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,0,1,
APP AT LINCOLN,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,0,0,
APPLE VALLEY ELEMENTARY,2016-17,Y,75,94.7%,1.3%,1.3%,2.7%,0.0%,2.7%,0.0%,0.0%,100.0%,100.0%,98.7%,98.7%,96.0%,97.3%,71,1,1,2,0,2,0,0,0,0,1,1,3,2,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),7 N 88TH AVENUE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,1,0,
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2016-17,Y,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,520 NE RAVENNA BLVD,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,1,1,
ARBOR HEIGHTS ELEMENTARY SCHOOL,2016-17,Y,101,82.2%,0.0%,15.8%,2.0%,1.0%,2.0%,0.0%,0.0%,91.1%,91.1%,92.1%,85.1%,93.1%,87.1%,83,0,16,2,1,2,0,0,9,9,8,15,7,13,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3701 SW 104 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ARBOR SCHOOLS,2016-17,Y,19,73.7%,10.5%,0.0%,15.8%,0.0%,15.8%,0.0%,0.0%,84.2%,94.7%,94.7%,84.2%,89.5%,89.5%,14,2,0,3,0,3,0,0,3,1,1,3,2,2,PRIVATE SCHOOL,ISSAQUAH SCHOOL DISTRICT,1107 228TH AVE SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,1,1,
ARCADIA ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,"E. 1120 ""D"" STREET",DEER PARK,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-5,0,0,
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,EVERETT SCHOOL DISTRICT,12911 39TH AVE SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
ARDMORE ELEMENTARY SCHOOL,2016-17,Y,100,93.0%,0.0%,6.0%,1.0%,1.0%,0.0%,0.0%,0.0%,99.0%,99.0%,97.0%,97.0%,97.0%,98.0%,93,0,6,1,1,0,0,0,1,1,3,3,3,2,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,16616 NE 32ND ST.,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ARLINGTON ELEMENTARY,2016-17,Y,78,87.2%,1.3%,0.0%,11.5%,2.6%,9.0%,0.0%,0.0%,91.0%,91.0%,89.7%,91.0%,89.7%,91.0%,68,1,0,9,2,7,0,0,7,7,8,7,8,7,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,6363 N SMITH ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
ARLINGTON ELEMENTARY SCHOOL,2016-17,Y,41,90.2%,0.0%,4.9%,4.9%,0.0%,2.4%,0.0%,2.4%,92.7%,97.6%,95.1%,92.7%,95.1%,95.1%,37,0,2,2,0,1,0,1,3,1,2,3,2,2,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,3002 S 72ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
ARLINGTON HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ARLINGTON SCHOOL DISTRICT,18821 CROWN RIDGE BLVD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
ARMIN JAHR ELEMENTARY,2016-17,Y,65,70.8%,6.2%,21.5%,1.5%,0.0%,1.5%,0.0%,0.0%,84.6%,84.6%,87.7%,81.5%,90.8%,81.5%,46,4,14,1,0,1,0,0,10,10,8,12,6,12,PUBLIC SCHOOL,BREMERTON SCHOOL DISTRICT,800 DIBB STREET,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,1,0,
ARROWHEAD ELEMENTARY,2016-17,Y,67,91.0%,0.0%,3.0%,6.0%,3.0%,3.0%,0.0%,0.0%,98.5%,98.5%,94.0%,97.0%,97.0%,91.0%,61,0,2,4,2,2,0,0,1,1,4,2,2,6,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,6725 NE ARROWHEAD DR,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
ARTHUR JACOBSEN ELEMENTARY,2016-17,Y,80,93.8%,1.3%,0.0%,5.0%,0.0%,5.0%,0.0%,0.0%,93.8%,93.8%,95.0%,93.8%,96.3%,95.0%,75,1,0,4,0,4,0,0,5,5,4,5,3,4,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,29205 132ND AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
ARTONDALE ELEMENTARY SCHOOL,2016-17,Y,85,96.5%,0.0%,0.0%,3.5%,0.0%,3.5%,0.0%,0.0%,98.8%,98.8%,98.8%,98.8%,100.0%,98.8%,82,0,0,3,0,3,0,0,1,1,1,1,0,1,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,6219 40TH STREET NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
