School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
COLUMBIA VALLEY ELEMENTARY,2013-14,84,59.5%,1.2%,34.5%,4.8%,0.0%,4.8%,0.0%,0.0%,70.2%,70.2%,71.4%,69.0%,66.7%,70.2%,50,1,29,4,0,4,0,0,25,25,24,26,28,25,Y,EVERGREEN SCHOOL DISTRICT (CLARK),17500 SE SEQUOIA CR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA VALLEY GARDEN ELEM SCHL,2013-14,63,95.2%,0.0%,1.6%,3.2%,0.0%,1.6%,1.6%,0.0%,95.2%,95.2%,95.2%,95.2%,95.2%,96.8%,60,0,1,2,0,1,1,0,3,3,3,3,3,2,Y,LONGVIEW SCHOOL DISTRICT,2644 30TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA VIRTUAL ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VALLEY SCHOOL DISTRICT,3030 HUFFMAN ROAD,VALLEY,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
COLUMBIA VIRTUAL ACADEMY-ORIENT,2013-14,8,50.0%,0.0%,37.5%,12.5%,0.0%,12.5%,0.0%,0.0%,62.5%,62.5%,62.5%,75.0%,87.5%,75.0%,4,0,3,1,0,1,0,0,3,3,3,2,1,2,Y,ORIENT SCHOOL DISTRICT,PO BOX 1419,ORIENT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
COLVILLE JUNIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLVILLE SCHOOL DISTRICT,990 S CEDAR ST,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
COLVILLE SENIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLVILLE SCHOOL DISTRICT,154 HIGHWAY 20 E,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
COLVILLE VALLEY JUNIOR ACADEMY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,COLVILLE SCHOOL DISTRICT,139 E CEDAR LP,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
COMM BASED TRANS PROGRAM,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,601 S 8TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
COMMUNITY CHRISTIAN ACADEMY,2013-14,31,90.3%,3.2%,3.2%,3.2%,0.0%,3.2%,0.0%,0.0%,90.3%,90.3%,90.3%,90.3%,93.5%,93.5%,28,1,1,1,0,1,0,0,3,3,3,3,2,2,Y,NORTH THURSTON PUBLIC SCHOOLS,4706 PARK CENTER AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COMMUNITY MONTESSORI,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,TACOMA SCHOOL DISTRICT,1407 SOUTH I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
COMMUNITY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,11133 NE 65TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
COMPASS HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONCORD INTERNATIONAL SCHOOL,2013-14,73,74.0%,0.0%,23.3%,2.7%,1.4%,1.4%,0.0%,0.0%,100.0%,100.0%,84.9%,82.2%,87.7%,80.8%,54,0,17,2,1,1,0,0,0,0,11,13,9,14,Y,SEATTLE PUBLIC SCHOOLS,723 S CONCORD ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CONCORDIA LUTHERAN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,7040 36TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCORDIA LUTHERAN SCHOOL,2013-14,19,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,202 E 56TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCRETE ELEMENTARY,2013-14,33,75.8%,6.1%,12.1%,6.1%,3.0%,3.0%,0.0%,0.0%,87.9%,87.9%,84.8%,84.8%,93.9%,81.8%,25,2,4,2,1,1,0,0,4,4,5,5,2,6,Y,CONCRETE SCHOOL DISTRICT,7838 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
CONCRETE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CONCRETE SCHOOL DISTRICT,7830 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CONNELL ELEM,2013-14,72,87.5%,0.0%,11.1%,1.4%,0.0%,1.4%,0.0%,0.0%,94.4%,94.4%,93.1%,94.4%,95.8%,93.1%,63,0,8,1,0,1,0,0,4,4,5,4,3,5,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
CONNELL HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CONTINUOUS CURRICULUM SCHOOL,2013-14,69,91.3%,0.0%,0.0%,8.7%,4.3%,4.3%,0.0%,0.0%,94.2%,94.2%,92.8%,94.2%,94.2%,94.2%,63,0,0,6,3,3,0,0,4,4,5,4,4,4,Y,EAST VALLEY SCHOOL DISTRICT (SPOKANE),16924 E WELLESLEY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
CONTRACT LEARNING CENTER,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONWAY SCHOOL,2013-14,44,72.7%,4.5%,11.4%,11.4%,2.3%,9.1%,0.0%,0.0%,88.6%,88.6%,86.4%,81.8%,88.6%,81.8%,32,2,5,5,1,4,0,0,5,5,6,8,5,8,Y,CONWAY SCHOOL DISTRICT,19710 STATE ROUTE 564,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
COOPER ELEMENTARY,2013-14,81,76.5%,0.0%,19.8%,3.7%,0.0%,3.7%,0.0%,0.0%,87.7%,87.7%,90.1%,86.4%,96.3%,87.7%,62,0,16,3,0,3,0,0,10,10,8,11,3,10,Y,SPOKANE SCHOOL DISTRICT,3200 N FERRALL ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
CORDATA ELEMENTARY SCHOOL,2013-14,86,84.9%,9.3%,0.0%,5.8%,1.2%,4.7%,0.0%,0.0%,89.5%,89.5%,89.5%,87.2%,89.5%,87.2%,73,8,0,5,1,4,0,0,9,9,9,11,9,11,Y,BELLINGHAM SCHOOL DISTRICT,4420 ALDRICH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
CORNERSTONE ACADEMY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MONROE SCHOOL DISTRICT,14377 FRYELANDS BLVD SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-7,Y,Y
CORNERSTONE CHRISTIAN ACADEMY,2013-14,5,60.0%,0.0%,20.0%,20.0%,0.0%,20.0%,0.0%,0.0%,80.0%,100.0%,80.0%,60.0%,80.0%,80.0%,3,0,1,1,0,1,0,0,1,0,1,2,1,1,Y,SPOKANE SCHOOL DISTRICT,4224 E 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2013-14,39,97.4%,0.0%,2.6%,0.0%,0.0%,0.0%,2.6%,0.0%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,38,0,1,0,0,0,1,0,1,1,1,1,1,1,Y,EVERGREEN SCHOOL DISTRICT (CLARK),7708 NE 78TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,LYNDEN SCHOOL DISTRICT,8872 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,1-12,N,Y
CORNERSTONE CHRISTIAN SCHOOL,2013-14,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,5501 WIGGINS RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COSMOPOLIS ELEMENTARY SCHOOL,2013-14,24,79.2%,0.0%,16.7%,4.2%,0.0%,4.2%,0.0%,0.0%,79.2%,79.2%,79.2%,83.3%,95.8%,79.2%,19,0,4,1,0,1,0,0,5,5,5,4,1,5,Y,COSMOPOLIS SCHOOL DISTRICT,216 S. 11TH ST.,COSMOPOLIS,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
COTTAGE LAKE ELEMENTARY,2013-14,47,91.5%,0.0%,2.1%,6.4%,0.0%,6.4%,0.0%,0.0%,95.7%,95.7%,93.6%,93.6%,93.6%,93.6%,43,0,1,3,0,3,0,0,2,2,3,3,3,3,Y,NORTHSHORE SCHOOL DISTRICT,15940 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
COTTONWOOD ELEMENTARY,2013-14,83,95.2%,2.4%,0.0%,2.4%,0.0%,2.4%,0.0%,0.0%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,79,2,0,2,0,2,0,0,2,2,2,2,2,2,Y,KENNEWICK SCHOOL DISTRICT,16734 S. COTTONWOOD CREEK BLVD.,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COTTONWOOD ELEMENTARY SCHOOL,2013-14,46,97.8%,0.0%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,45,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,CENTRAL KITSAP SCHOOL DISTRICT,330 NE FOSTER ROAD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COTTONWOOD ELEMENTARY SCHOOL,2013-14,76,86.8%,1.3%,9.2%,2.6%,1.3%,1.3%,0.0%,0.0%,92.1%,92.1%,93.4%,90.8%,96.1%,90.8%,66,1,7,2,1,1,0,0,6,6,5,7,3,7,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),1041 S 96TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
COUGAR CREEK ELEMENTARY SCHOOL,2013-14,76,92.1%,2.6%,1.3%,3.9%,1.3%,2.6%,0.0%,1.3%,93.4%,93.4%,96.1%,94.7%,94.7%,93.4%,70,2,1,3,1,2,0,1,5,5,3,4,4,5,Y,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 128,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
COUGAR MOUNTAIN ACADEMY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,ISSAQUAH SCHOOL DISTRICT,5410 194TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
COUGAR MOUNTAIN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BETHEL SCHOOL DISTRICT,5108 260TH ST E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
COUGAR RIDGE ELEMENTARY,2013-14,86,96.5%,1.2%,0.0%,2.3%,0.0%,2.3%,0.0%,0.0%,97.7%,97.7%,97.7%,96.5%,97.7%,97.7%,83,1,0,2,0,2,0,0,2,2,2,3,2,2,Y,ISSAQUAH SCHOOL DISTRICT,4630 167TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COUGAR VALLEY ELEMENTARY,2013-14,95,96.8%,0.0%,0.0%,3.2%,1.1%,1.1%,1.1%,0.0%,96.8%,96.8%,96.8%,97.9%,97.9%,96.8%,92,0,0,3,1,1,1,0,3,3,3,2,2,3,Y,CENTRAL KITSAP SCHOOL DISTRICT,13200 OLYMPIC VIEW RD NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COULEE CITY ELEMENTARY,2013-14,12,66.7%,16.7%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,83.3%,66.7%,83.3%,83.3%,8,2,2,0,0,0,0,0,1,1,2,4,2,2,Y,COULEE-HARTLINE SCHOOL DISTRICT,410 W LOCUST,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COUNTRY HAVEN ACADEMY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PASCO SCHOOL DISTRICT,510 COUNTRY HAVEN LP,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COUNTRYSIDE MONTESSORI SCHOOL,2013-14,18,77.8%,11.1%,0.0%,11.1%,0.0%,11.1%,0.0%,0.0%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,14,2,0,2,0,2,0,0,2,2,2,2,2,2,Y,LAKE WASHINGTON SCHOOL DISTRICT,13630 100TH AVE NE BLDG 2,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
COUNTRYSIDE SDA ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,REARDAN-EDWALL SCHOOL DISTRICT,12107 W SEVEN MILE RD,SPOKANE,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,1-8,N,Y
COUPEVILLE ELEMENTARY SCHOOL,2013-14,51,94.1%,0.0%,3.9%,2.0%,0.0%,2.0%,0.0%,0.0%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,48,0,2,1,0,1,0,0,3,3,3,3,3,3,Y,COUPEVILLE SCHOOL DISTRICT,6 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COUPEVILLE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
COUPEVILLE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
COVENANT CHRISTIAN SCHOOL,2013-14,2,50.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,0,1,0,1,1,1,1,1,1,Y,LYNDEN SCHOOL DISTRICT,9088 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,Y,Y
COVENANT HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,620 S SHIRLEY ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
COVINGTON ELEMENTARY SCHOOL,2013-14,65,83.1%,0.0%,12.3%,4.6%,1.5%,3.1%,0.0%,0.0%,90.8%,90.8%,89.2%,87.7%,98.5%,86.2%,54,0,8,3,1,2,0,0,6,6,7,8,1,9,Y,KENT SCHOOL DISTRICT,17070 SE WAX ROAD,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COVINGTON MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),11200 NE ROSEWOOD RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWEEMAN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,KELSO SCHOOL DISTRICT,2000 ALLEN ST,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWLITZ PRAIRIE ACADEMY (TOLEDO ALTERNATIVE OPTIONS),2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOLEDO SCHOOL DISTRICT,PO BOX 469,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
CREATIVE MONTESSORI,2013-14,11,63.6%,18.2%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,81.8%,81.8%,63.6%,81.8%,72.7%,63.6%,7,2,2,0,0,0,0,0,2,2,4,2,3,4,Y,NORTHSHORE SCHOOL DISTRICT,14944 JUANITA DR NE,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K,Y,N
CREEKSIDE ELEMENTARY,2013-14,90,95.6%,0.0%,2.2%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,96.7%,97.8%,96.7%,96.7%,96.7%,86,0,2,2,0,2,0,0,2,3,2,3,3,3,Y,ISSAQUAH SCHOOL DISTRICT,20777 SE 16TH ST.,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT HARBOR ELEM,2013-14,76,92.1%,1.3%,1.3%,5.3%,3.9%,1.3%,0.0%,0.0%,94.7%,94.7%,94.7%,94.7%,93.4%,94.7%,70,1,1,4,3,1,0,0,4,4,4,4,5,4,Y,OAK HARBOR SCHOOL DISTRICT,330 E. CRESCENT HARBOR RD.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
CRESCENT HEIGHTS ELEMENTARY SCHOOL,2013-14,78,75.6%,2.6%,19.2%,2.6%,2.6%,0.0%,0.0%,0.0%,80.8%,98.7%,82.1%,80.8%,85.9%,82.1%,59,2,15,2,2,0,0,0,15,1,14,15,11,14,Y,TACOMA SCHOOL DISTRICT,4110 NASSAU AVE NE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT SCHOOL,2013-14,10,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,80.0%,100.0%,90.0%,100.0%,80.0%,8,0,2,0,0,0,0,0,2,2,0,1,0,2,Y,CRESCENT SCHOOL DISTRICT,50350 HWY 112,JOYCE,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
CRESTLINE ELEMENTARY SCHOOL,2013-14,87,79.3%,1.1%,18.4%,1.1%,0.0%,1.1%,0.0%,0.0%,88.5%,88.5%,88.5%,86.2%,89.7%,88.5%,69,1,16,1,0,1,0,0,10,10,10,12,9,10,Y,EVERGREEN SCHOOL DISTRICT (CLARK),13003 SE SEVENTH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
CRESTON ELEMENTARY,2013-14,8,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,87.5%,100.0%,100.0%,100.0%,7,1,0,0,0,0,0,0,0,0,1,0,0,0,Y,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
CRESTON JR-SR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
CRESTVIEW CHRISTIAN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MOSES LAKE SCHOOL DISTRICT,1601 W VALLEY RD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-9,Y,Y
CRESTWOOD ELEMENTARY,2013-14,66,93.9%,0.0%,0.0%,6.1%,0.0%,6.1%,0.0%,0.0%,95.5%,95.5%,93.9%,93.9%,95.5%,93.9%,62,0,0,4,0,4,0,0,3,3,4,4,3,4,Y,SUMNER SCHOOL DISTRICT,3914 W TAPPS DR E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESTWOOD ELEMENTARY SCHOOL,2013-14,58,87.9%,1.7%,6.9%,3.4%,0.0%,3.4%,0.0%,0.0%,93.1%,93.1%,93.1%,91.4%,96.6%,91.4%,51,1,4,2,0,2,0,0,4,4,4,5,2,5,Y,KENT SCHOOL DISTRICT,25225 180TH AVE SE,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CROSSPOINT CHRISTIAN SCHOOL,2013-14,14,92.9%,0.0%,0.0%,7.1%,0.0%,7.1%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,13,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,CENTRAL KITSAP SCHOOL DISTRICT,4012 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K-12,Y,Y
CROSSROADS HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,GRANITE FALLS SCHOOL DISTRICT,307 NORTH ALDER AVENUE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CROWNHILL ELEMENTARY SCHOOL,2013-14,62,93.5%,0.0%,4.8%,1.6%,0.0%,1.6%,0.0%,0.0%,96.8%,96.8%,95.2%,95.2%,96.8%,96.8%,58,0,3,1,0,1,0,0,2,2,3,3,2,2,Y,BREMERTON SCHOOL DISTRICT,1500 ROCKY POINT RD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
CRYSTAL SPRINGS ELEMENTARY,2013-14,66,86.4%,3.0%,0.0%,10.6%,6.1%,4.5%,0.0%,0.0%,93.9%,93.9%,93.9%,92.4%,90.9%,93.9%,57,2,0,7,4,3,0,0,4,4,4,5,6,4,Y,NORTHSHORE SCHOOL DISTRICT,21615 9 AV SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
