School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
SCHOOL OF ARTS & ACADEMICS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vancouver School District,3101 MAIN STREET,Vancouver,CLARK,Educational Service District 112,0,1
Home Port Learning Center,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellingham School District,707 Astor St,Bellingham,WHATCOM,Northwest Educational Service District 189,0,0
ODYSSEY MULTIAGE PROGRAM,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bainbridge Island School District,9530 NE High School Rd,Bainbridge Island,KITSAP,Puget Sound Educational Service District 121,0,1
INTERNATIONAL COMMUNITY SCH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,11133 NE 65th ST,Kirkland,KING,Puget Sound Educational Service District 121,0,1
LINCOLN HILL HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Stanwood-Camano School District,7400 272ND ST NW,Stanwood,SNOHOMISH,Northwest Educational Service District 189,0,0
Sequim Community School (Olympic Peninsula Academy),2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sequim School District,220 W Alder,Sequim,CLALLAM,Olympic Educational Service District 114,1,1
CHEWELAH ALTERNATIVE HIGH SCHO,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Chewelah School District,W 106 Lincoln,Chewelah,STEVENS,Educational Service District 101,0,0
Continuous Curriculum School,2017-18,Y,46,93.5%,2.2%,2.2%,2.2%,0.0%,2.2%,0.0%,0.0%,93.5%,93.5%,95.7%,93.5%,95.7%,95.7%,43,1,1,1,0,1,0,0,3,3,2,3,2,2,Public,East Valley School District (Spokane),16924 E Wellesley,Spokane Valley,SPOKANE,Educational Service District 101,1,1
GRAVITY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tumwater School District,7741 Littlerock Road SW,Olympia,THURSTON,Educational Service District 113,0,0
SECONDARY OPTIONS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tumwater School District,7741 Littlerock Road SW,Olympia,THURSTON,Educational Service District 113,0,0
STILLAGUAMISH VALLEY SCHOOL,2017-18,Y,9,44.4%,0.0%,33.3%,22.2%,11.1%,11.1%,0.0%,0.0%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,4,0,3,2,1,1,0,0,4,4,4,4,4,4,Public,Arlington School District,1215 E 5th,Arlington,SNOHOMISH,Northwest Educational Service District 189,1,1
EXPLORER ACADEMY,2017-18,Y,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,South Kitsap School District,1962 HOOVER AVE SE,Port Orchard,KITSAP,Olympic Educational Service District 114,1,1
SNOHOMISH CENTER,2017-18,Y,10,10.0%,0.0%,90.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,1,0,9,0,0,0,0,0,9,9,9,9,9,9,Public,Snohomish School District,1601 Avenue D,Snohomish,SNOHOMISH,Northwest Educational Service District 189,1,1
PAL PROGRAM,2017-18,Y,1,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Public,North Kitsap School District,1845 NE HOSTMARK ST,Poulsbo,KITSAP,Olympic Educational Service District 114,1,1
H.E.A.R.T. HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Rochester School District,10140 Highway 12 SW,Rochester,THURSTON,Educational Service District 113,0,0
RENAISSANCE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bremerton School District,3400 1st Street,Bremerton,KITSAP,Olympic Educational Service District 114,0,0
GATE PROGRAM,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vancouver School District,3100 E 18th St,Vancouver,CLARK,Educational Service District 112,0,0
VALLEY ACADEMY OF LEARNING,2017-18,Y,19,52.6%,10.5%,5.3%,31.6%,0.0%,31.6%,0.0%,0.0%,89.5%,89.5%,78.9%,84.2%,63.2%,68.4%,10,2,1,6,0,6,0,0,2,2,4,3,7,6,Public,Wenatchee School District,1911 N Wenatchee Ave,Wenatchee,CHELAN,North Central Educational Service District 171,1,1
School Home Partnership Program,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Marysville School District,4220 80th St NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,1,1
CASCADE PARENT PARTNERSHIP PROGRAM,2017-18,Y,22,45.5%,0.0%,50.0%,4.5%,0.0%,4.5%,0.0%,0.0%,72.7%,72.7%,63.6%,54.5%,59.1%,54.5%,10,0,11,1,0,1,0,0,6,6,8,10,9,10,Public,Seattle Public Schools,1330 N 90th St,Seattle,KING,Puget Sound Educational Service District 121,1,1
PALOUSE JUNCTION HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Franklin School District,110 S Chelan Ave,Connell,FRANKLIN,Educational Service District 123,0,0
WEST VALLEY CITY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Spokane),8920 E VALLEYWAY,Spokane,SPOKANE,Educational Service District 101,0,1
CLIP,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Riverview School District,32302 NE 50th St,Carnation,KING,Puget Sound Educational Service District 121,0,0
HOMECONNECTION,2017-18,Y,16,68.8%,0.0%,0.0%,31.3%,6.3%,18.8%,6.3%,0.0%,81.3%,81.3%,68.8%,75.0%,75.0%,68.8%,11,0,0,5,1,3,1,0,3,3,5,4,4,5,Public,Oak Harbor School District,600 Cherokee St,Oak Harbor,ISLAND,Northwest Educational Service District 189,1,1
HOME LINK ALTERNATIVE,2017-18,Y,4,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,75.0%,75.0%,75.0%,50.0%,2,0,2,0,0,0,0,0,2,2,1,1,1,2,Public,Chewelah School District,210 N Park St,Chewelah,STEVENS,Educational Service District 101,1,1
Healing Lodge,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,5600 E 8Th Ave,Spokane,SPOKANE,Educational Service District 101,0,0
AVANTI HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Olympia School District,1113 LEGION WAY SE,Olympia,THURSTON,Educational Service District 113,0,0
THREE SPRINGS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Cheney School District,520 FOURTH STREET,Cheney,SPOKANE,Educational Service District 101,0,0
HOME EDUCATION EXCHANGE,2017-18,Y,18,83.3%,0.0%,5.6%,11.1%,5.6%,5.6%,0.0%,0.0%,88.9%,88.9%,94.4%,88.9%,88.9%,94.4%,15,0,1,2,1,1,0,0,2,2,1,2,2,1,Public,Shoreline School District,816 NE 190th,Shoreline,KING,Puget Sound Educational Service District 121,1,1
CONTRACT LEARNING CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grandview School District,913 W 2nd ST,Grandview,YAKIMA,Educational Service District 105,0,0
SKY VALLEY EDUCATION CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Monroe School District,351 SHORT COLUMBIA ST,Monroe,SNOHOMISH,Northwest Educational Service District 189,0,1
SUMNER SPECIAL SERVICES,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sumner School District,1202 Wood Ave,Sumner,PIERCE,Puget Sound Educational Service District 121,0,0
MOUNT BAKER AT TIMBER RIDGE,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellingham School District,5604 Mission Rd,Bellingham,WHATCOM,Northwest Educational Service District 189,0,0
H.O.M.E. PROGRAM,2017-18,Y,6,66.7%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,4,0,0,2,0,2,0,0,2,2,2,2,2,2,Public,Renton School District,2607 JONES AVE S,RENTON,KING,Educational Service District 101,1,1
FEDERAL WAY PUBLIC ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Federal Way School District,34620 9TH AV S,Federal Way,KING,Puget Sound Educational Service District 121,0,1
TEAM HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Woodland School District,800 Third Street,Woodland,COWLITZ,Educational Service District 112,0,0
SALMON BAY K-8 SCHOOL,2017-18,Y,45,66.7%,0.0%,31.1%,2.2%,0.0%,2.2%,0.0%,0.0%,77.8%,77.8%,75.6%,77.8%,77.8%,68.9%,30,0,14,1,0,1,0,0,10,10,11,10,10,14,Public,Seattle Public Schools,1810 NW 65 ST,Seattle,KING,Puget Sound Educational Service District 121,1,1
ENVIRONMENTAL SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,8040 NE 132nd,Kirkland,KING,Puget Sound Educational Service District 121,0,1
MEAD ALTERNATIVE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mead School District,529 W HASTINGS,Spokane,SPOKANE,Educational Service District 101,0,0
FUTURES SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,10601 NE 132nd,Kirkland,KING,Puget Sound Educational Service District 121,0,0
LEADERS IN LEARNING,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Monroe School District,639 W MAIN ST,MONROE,SNOHOMISH,Northwest Educational Service District 189,0,0
Northshore Networks,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Northshore School District,3330 Monte Villa Parkway,Bothell,KING,Puget Sound Educational Service District 121,1,1
Special Services,2017-18,Y,2,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,2,0,0,0,0,0,2,2,2,2,2,2,Public,Northshore School District,3330 Monte Villa Parkway,Bothell,KING,Puget Sound Educational Service District 121,1,1
FAMILY LINK,2017-18,Y,7,28.6%,14.3%,14.3%,42.9%,14.3%,28.6%,0.0%,0.0%,42.9%,42.9%,28.6%,28.6%,28.6%,28.6%,2,1,1,3,1,2,0,0,4,4,5,5,5,5,Public,Vashon Island School District,20120 Vashon Hwy,Vashon,KING,Puget Sound Educational Service District 121,1,1
Alfaretta Transition Program,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,10903 Gravelly Lake DR SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,0,0
Contracted Schools,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,20420 68TH AVE W,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,1
SENTINEL TECH  ALTERNATIVE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Wahluke School District,400 N Boundary Rd,Mattawa,GRANT,Educational Service District 105,0,0
CAM ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Battle Ground School District,715 NW Onsdorff Blvd,Battle Ground,CLARK,Educational Service District 112,0,1
SPOKANE VALLEY HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Spokane),2011 N HUTCHINSON,Spokane,SPOKANE,Educational Service District 101,0,0
MOSAIC HOME EDUCATION PARTNERSHIP,2017-18,Y,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,Bainbridge Island School District,9530 NE High School Rd,Bainbridge Island,KITSAP,Puget Sound Educational Service District 121,1,1
SPOKANE VALLEY TRANSITION SCH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Spokane),2011 N HUTCHINSON RD,Spokane,SPOKANE,Educational Service District 101,0,0
ALTERNATIVE ED EXPERIENCE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Methow Valley School District,18 Twin Lakes Rd.,Winthrop,OKANOGAN,North Central Educational Service District 171,1,1
WELLPINIT ALLIANCE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Wellpinit School District,6231 OLD SCHOOL RD,Wellpinit,STEVENS,Educational Service District 101,0,0
PARADE,2017-18,Y,5,60.0%,0.0%,20.0%,20.0%,0.0%,20.0%,0.0%,0.0%,100.0%,100.0%,80.0%,80.0%,60.0%,80.0%,3,0,1,1,0,1,0,0,0,0,1,1,2,1,Public,Riverview School District,32240 NE 50th St,Carnation,KING,Puget Sound Educational Service District 121,1,1
THE CENTER SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,305 HARRISON ST,Seattle,KING,Puget Sound Educational Service District 121,0,0
SPRINGDALE ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mary Walker School District,500 N 4th Street,Springdale,STEVENS,Educational Service District 101,1,1
FIVE MILE PRAIRIE SCHOOL,2017-18,Y,39,69.2%,0.0%,2.6%,28.2%,0.0%,28.2%,0.0%,0.0%,87.2%,84.6%,79.5%,74.4%,87.2%,84.6%,27,0,1,11,0,11,0,0,5,6,8,10,5,6,Public,Mead School District,8621 N FIVE MILE ROAD,Spokane,SPOKANE,Educational Service District 101,1,1
Tacoma School of the Arts,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tacoma School District,1950 Pacific Avenue,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
NORTH MASON HOMELINK,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Mason School District,71 East Campus Dr.,Belfair,MASON,Olympic Educational Service District 114,1,1
MARYSVILLE COOP PROGRAM,2017-18,Y,46,84.8%,4.3%,0.0%,10.9%,0.0%,10.9%,0.0%,0.0%,89.1%,89.1%,89.1%,87.0%,84.8%,87.0%,39,2,0,5,0,5,0,0,5,5,5,6,7,6,Public,Marysville School District,2415 74th St NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,1,0
HOMELINK RIVER,2017-18,Y,54,51.9%,1.9%,3.7%,42.6%,3.7%,38.9%,0.0%,0.0%,59.3%,59.3%,61.1%,59.3%,59.3%,59.3%,28,1,2,23,2,21,0,0,22,22,21,22,22,22,Public,Battle Ground School District,610 SW Eaton Blvd,Battle Ground,CLARK,Educational Service District 112,1,1
Re Entry High School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,5214 Steilacoom Blvd SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,0,0
Re Entry Middle School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,5214 Steilacoom Blvd SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,0,1
Contract Services/Relife,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,10903 Gravelly LK DR SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,1
OASIS SCHOOL,2017-18,Y,20,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,20,0,0,0,0,0,20,20,20,20,20,20,Public,Orcas Island School District,557 SCHOOL RD,Eastsound,SAN JUAN,Northwest Educational Service District 189,1,1
BRIDGEPORT AURORA HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bridgeport School District,1400 Tacoma Ave,Bridgeport,DOUGLAS,North Central Educational Service District 171,0,0
PARENT PARTNERSHIP,2017-18,Y,8,75.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,87.5%,87.5%,87.5%,75.0%,87.5%,87.5%,6,0,1,1,0,1,0,0,1,1,1,2,1,1,Public,Snohomish School District,1601 Avenue D,Snohomish,SNOHOMISH,Northwest Educational Service District 189,1,1
PORT GARDNER,2017-18,Y,14,42.9%,0.0%,28.6%,28.6%,7.1%,21.4%,0.0%,0.0%,64.3%,64.3%,64.3%,57.1%,57.1%,64.3%,6,0,4,4,1,3,0,0,5,5,5,6,6,5,Public,Everett School District,3516 Rucker,Everett,SNOHOMISH,Northwest Educational Service District 189,1,1
LYNDEN SPECIAL SERVICES,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lynden School District,1201 Bradley Rd,Lynden,WHATCOM,Northwest Educational Service District 189,0,0
SPECIAL SERVICES SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Auburn School District,502 4th St NE,Auburn,KING,Puget Sound Educational Service District 121,0,0
Loon Lake Homelink,2017-18,Y,12,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,12,0,0,0,0,0,12,12,12,12,12,12,Public,Loon Lake School District,4001 Maple St,Loon Lake,FERRY,Educational Service District 101,1,1
HOME CHOICE ACADEMY,2017-18,Y,23,26.1%,0.0%,43.5%,30.4%,4.3%,26.1%,0.0%,0.0%,47.8%,47.8%,43.5%,47.8%,47.8%,39.1%,6,0,10,7,1,6,0,0,12,12,13,12,12,14,Public,Evergreen School District (Clark),13501 NE 28th Street,Vancouver,CLARK,Educational Service District 112,1,1
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Marysville School District,7204 27th Ave NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,0,0
BURLINGTON NORTH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Burlington-Edison School District,301 N Burlington Blvd,Burlington,SKAGIT,Northwest Educational Service District 189,0,0
LWSD PROGRAM @ SITE 88,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,10200 NE 132nd St,Kirkland,KING,Puget Sound Educational Service District 121,0,0
BEST NIGHT SR HIGH SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,10903 NE 53rd St,Kirkland,KING,Puget Sound Educational Service District 121,0,0
COLUMBIA VIRTUAL ACADEMY,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Valley School District,3030 Huffman Road,Valley,STEVENS,Educational Service District 101,1,1
LOOWIT,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kelso School District,1904 Allen St,Kelso,COWLITZ,Educational Service District 112,0,0
EAGLE HARBOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bainbridge Island School District,9530 NE High School Rd,Bainbridge Island,KITSAP,Puget Sound Educational Service District 121,0,0
CHILDREN FIRST,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,East Valley School District (Spokane),12325 E Grace Ave,Spokane Valley,SPOKANE,Educational Service District 101,0,0
STUDENT LINK,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vashon Island School District,20120 Vashon Hwy,Vashon,KING,Puget Sound Educational Service District 121,0,0
CHELAN SCHOOL OF INNOVATION,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Chelan School District,324 E Johnson Ave,Chelan,CHELAN,North Central Educational Service District 171,0,0
MID-COLUMBIA PARENT PARTNERSHIP,2017-18,Y,16,87.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,93.8%,93.8%,87.5%,87.5%,93.8%,87.5%,14,0,0,2,0,2,0,0,1,1,2,2,1,2,Public,Kennewick School District,200 S FRUITLAND ST,Kennewick,BENTON,Educational Service District 123,1,1
CASCADE K-8 COMMUNITY SCHOOL,2017-18,Y,23,82.6%,0.0%,0.0%,17.4%,0.0%,17.4%,0.0%,0.0%,91.3%,91.3%,87.0%,82.6%,87.0%,82.6%,19,0,0,4,0,4,0,0,2,2,3,4,3,4,Public,Shoreline School District,17077 Meridian Ave N,Shoreline,KING,Puget Sound Educational Service District 121,1,1
GRIFFIN BAY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,San Juan Island School District,85 Blair Ave,Friday Harbor,SAN JUAN,Northwest Educational Service District 189,1,1
Spokane Valley Learning Academy,2017-18,Y,1,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,Central Valley School District,612 S. McDonald,Spokane,SPOKANE,Educational Service District 101,1,1
Edmonds Heights K-12,2017-18,Y,29,51.7%,0.0%,13.8%,34.5%,0.0%,34.5%,0.0%,0.0%,58.6%,58.6%,62.1%,55.2%,65.5%,62.1%,15,0,4,10,0,10,0,0,12,12,11,13,10,11,Public,Edmonds School District,23200 100th Ave W,Edmonds,SNOHOMISH,Northwest Educational Service District 189,1,1
OCOSTA SATELITE SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ocosta School District,2480 S. Montesano St.,Westport,GRAYS HARBOR,Educational Service District 113,0,0
SAGE HILLS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ephrata School District,35 K ST SE,Ephrata,GRANT,North Central Educational Service District 171,0,0
NEW START,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Highline School District,614 SW 120th St,Seattle,KING,Puget Sound Educational Service District 121,0,0
STELLA SCHOLA,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,13505 NE 75th Street,Redmond,KING,Puget Sound Educational Service District 121,0,1
LYNDEN ACADEMY,2017-18,Y,13,61.5%,0.0%,15.4%,23.1%,0.0%,23.1%,0.0%,0.0%,76.9%,76.9%,69.2%,69.2%,69.2%,76.9%,8,0,2,3,0,3,0,0,3,3,4,4,4,3,Public,Lynden School District,200 S BC Ave Ste 102,Lynden,WHATCOM,Northwest Educational Service District 189,1,1
MUCKLESHOOT TRIBAL SCHOOL,2017-18,Y,52,80.8%,0.0%,17.3%,1.9%,1.9%,0.0%,0.0%,0.0%,88.5%,88.5%,94.2%,96.2%,98.1%,94.2%,42,0,9,1,1,0,0,0,6,6,3,2,1,3,Public,Enumclaw School District,39015 172nd Avenue Southeast,Auburn,KING,Puget Sound Educational Service District 121,1,1
SWIFTWATER LEARNING CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Cle Elum-Roslyn School District,20140 Road 24.7 Southwest,Roslyn,KITTITAS,Educational Service District 105,0,0
SKAGIT FAMILY LEARNING CENTER,2017-18,Y,34,11.8%,2.9%,52.9%,32.4%,2.9%,20.6%,0.0%,8.8%,20.6%,20.6%,17.6%,14.7%,20.6%,14.7%,4,1,18,11,1,7,0,3,27,27,28,29,27,29,Public,Mount Vernon School District,2001 Cleveland Ave,Mount Vernon,SKAGIT,Northwest Educational Service District 189,1,1
CURLEW ELEMENTARY SCHOOL,2017-18,Y,12,66.7%,0.0%,25.0%,8.3%,0.0%,8.3%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,83.3%,66.7%,8,0,3,1,0,1,0,0,4,4,4,4,2,4,Public,Curlew School District,47 Curlew School Rd,Curlew,FERRY,Educational Service District 101,1,1
CURLEW HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Curlew School District,47 Curlew School Rd,Curlew,FERRY,Educational Service District 101,0,0
STAR ELEM SCHOOL,2017-18,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Star School District,24180 Pasco Kahlotus Rd,Pasco,FRANKLIN,Educational Service District 123,0,0
